ID	Range	genotype	experiment	sublock	Block	WHOLE WEIGHT (g)	W.W-COBS	20 KERNELS WEIGHT	COB LENGTH (CM)	COB DIA MM
21HL_JY1212	25	BGEM-0004-N_ B73	LN	sb3	bk4	176.933333333333	133.9	5.46666666666667	20.5666666666667	27.0833333333333
21HL_JY1213	25	BGEM-0066-N_ B73	LN	sb3	bk4	211.166666666667	177.9	5.56666666666667	20.2333333333333	25.0866666666667
21HL_JY1214	25	BGEM-0256-N_ B73	LN	sb3	bk4	156.033333333333	126.433333333333	5.6	17.3333333333333	25.0466666666667
21HL_JY1215	25	BGEM-0185-N_ B73	LN	sb3	bk4	218.466666666667	181.7	5.96666666666667	19.6666666666667	27.7733333333333
21HL_JY1216	25	BGEM-0243-S_ Mo17	LN	sb3	bk4	176.733333333333	151.433333333333	5.76666666666667	19.7666666666667	22.36
21HL_JY1217	25	BGEM-0063-N_ B73	LN	sb3	bk4	241.433333333333	201.866666666667	5.8	20.3666666666667	27.1566666666667
21HL_JY1218	25	BGEM-0207-N_ B73	LN	sb3	bk4	125.1	97.7666666666667	4.46666666666667	14.6	28.56
21HL_JY1219	25	BGEM-0126-N_ B73	LN	sb3	bk4	169.566666666667	133.6	5.9	17.6	28.0566666666667
21HL_JY1220	25	BGEM-0092-S_ Mo17	LN	sb3	bk4	202.966666666667	176.7	6.6	21	63.99
21HL_JY1221	25	BGEM-0101-S_ Mo17	LN	sb3	bk4	200.8	170.9	5.76666666666667	17.4666666666667	24.32
21HL_JY1222	25	BGEM-0164-S_ Mo17	LN	sb3	bk4	156.533333333333	135.6	5.03333333333333	17.7333333333333	23.1366666666667
21HL_JY1223	25	BGEM-0045-N_ B73	LN	sb3	bk4	204.933333333333	171.4	5.13333333333333	19.2	24.88
21HL_JY1224	25	BGEM-0027-S_ Mo17	LN	sb3	bk4	146.3	122.6	6.26666666666667	18.4	22.2266666666667
21HL_JY1225	25	BGEM-0034-S_ Mo17	LN	sb3	bk4	199.033333333333	168.7	6.3	19.7333333333333	23.56
21HL_JY1226	25	B73	LN	sb4	bk4	105.566666666667	82.1	4.03333333333333	13.7333333333333	27.3433333333333
21HL_JY1227	25	BGEM-0156-S	LN	sb4	bk4	23.4	12.4	4.3	15.1	22.46
21HL_JY1228	25	BGEM-0153-S	LN	sb4	bk4	45.6333333333333	36	5.36666666666667	10.8333333333333	20.35
21HL_JY1229	25	B73	LN	sb4	bk4	102.633333333333	74.8666666666667	5.53333333333333	14.8666666666667	28.7566666666667
21HL_JY1230	25	BGEM-0224-N	LN	sb4	bk4	19.4666666666667	13	4.8	10.5	18.2933333333333
21HL_JY1231	25	BGEM-0070-S	LN	sb4	bk4	93.6333333333333	75.4	4.8	14.8333333333333	23.59
21HL_JY1232	25	BGEM-0252-S	LN	sb4	bk4	87.6333333333333	70.1333333333333	4.83333333333333	14.3	22.3033333333333
21HL_JY1233	25	BGEM-0189-S	LN	sb4	bk4	149.133333333333	123.1	7	14.0333333333333	28.7766666666667
21HL_JY1234	25	B73	LN	sb4	bk4	99.6666666666667	75.6	4.6	13	27.7933333333333
21HL_JY1235	25	B73	LN	sb4	bk4	95.8666666666667	77.5333333333333	4.23333333333333	12.5333333333333	27.18
21HL_JY1236	25	BGEM-0192-N_ B73	LN	sb4	bk4	230.966666666667	193.933333333333	5.2	20.1333333333333	25.71
21HL_JY1237	25	BGEM-0124-N_ B73	LN	sb4	bk4	273.833333333333	223.233333333333	6.2	22.3	28.12
21HL_JY1238	25	BGEM-0044-S_ Mo17	LN	sb4	bk4	252.9	214.066666666667	7.46666666666667	22.7333333333333	66.41
